Location,Year,Average_Rent,Average_Earnings,CPI_Index,Affordability_Ratio,Real_Rent,Rent_YoY_Growth,Income_YoY_Growth
"Arbour Hill, Dublin 7",2016,1254.67,269.88875757575755,82.96875,4.648841290277959,1512.2199623352167,4.282092839629303,1.2421657020446064
"Arbour Hill, Dublin 7",2017,1504.64,273.8105606060606,83.30520833333334,5.495186148662726,1806.1775849349153,19.92316704790902,1.4531183386556012
"Arbour Hill, Dublin 7",2018,1585.16,284.1095454545454,83.72291666666666,5.579397191544236,1893.3406325428625,5.351446193109322,3.761354136848749
"Arbour Hill, Dublin 7",2019,1683.31,291.2750909090909,84.56875000000001,5.779107285646246,1990.4633803857805,6.19180398193242,2.5221065498103545
"Arbour Hill, Dublin 7",2020,1812.32,295.81777272727277,84.11145833333333,6.12647436052078,2154.664817268753,7.664066630626554,1.5595847224710413
"Arbour Hill, Dublin 7",2021,1773.95,309.2805,86.49479166666667,5.7357318033306335,2050.9327392063587,-2.1171757746976216,4.551020430114283
"Arbour Hill, Dublin 7",2022,1796.96,321.86687878787876,93.921875,5.582929212123929,1913.249708867077,1.2971053299134727,4.069567524586493
"Arbour Hill, Dublin 7",2023,1939.3,335.2919090909091,99.559375,5.783915291180467,1947.8828588467939,7.9211557296767765,4.17098843894339
"Arbour Hill, Dublin 7",2024,2095.0,350.1716666666666,101.09583333333335,5.982779874632919,2072.2911428924695,8.028670138709849,4.4378516666571555
"Ardee, Louth",2008,800.3,263.2414696969697,84.23125,3.0401744866462908,950.1224308080433,,
"Ardee, Louth",2009,732.32,256.8306666666667,79.36041666666667,2.8513728890111776,922.7774131730239,-8.494314632012989,-2.4353317270576103
"Ardee, Louth",2010,655.85,256.01466666666664,79.12083333333334,2.5617672945820815,828.9220074780136,-10.44215643434564,-0.31771906781642434
"Ardee, Louth",2011,607.34,251.39683333333335,81.60104166666666,2.415861774975951,744.2797145665522,-7.3965083479454075,-1.8037378066881438
"Ardee, Louth",2012,622.17,258.9757575757576,82.85833333333333,2.402425639465493,750.8840390224278,2.441795369973976,3.0147254211333463
"Ardee, Louth",2013,614.98,260.7649393939394,83.11562500000001,2.358369194222638,739.9090122946196,-1.1556327048877213,0.6908684561559575
"Ardee, Louth",2014,625.34,261.4159090909091,83.22708333333334,2.3921267920328977,751.3659916393402,1.6846076295164103,0.24963850526940057
"Ardee, Louth",2015,642.91,266.57742424242423,82.91979166666667,2.4117196038901656,775.3396228785347,2.809671538682945,1.9744456905720131
"Ardee, Louth",2016,694.77,269.88875757575755,82.96875,2.5742828498700194,837.3875706214689,8.06644786984181,1.2421657020446064
"Ardee, Louth",2017,776.73,273.8105606060606,83.30520833333334,2.8367423019797418,932.390681855126,11.79670970249147,1.4531183386556012
"Ardee, Louth",2018,879.07,284.1095454545454,83.72291666666666,3.0941234255032875,1049.9753651678404,13.175749616984023,3.761354136848749
"Ardee, Louth",2019,969.71,291.2750909090909,84.56875000000001,3.3291895883491582,1146.652871184687,10.310896743149002,2.5221065498103545
"Ardee, Louth",2020,998.81,295.81777272727277,84.11145833333333,3.3764367529088464,1187.4838693697598,3.000897175444206,1.5595847224710413
"Ardee, Louth",2021,1041.2,309.2805,86.49479166666667,3.366523269329945,1203.771903414223,4.244050419999801,4.551020430114283
"Ardee, Louth",2022,1088.33,321.86687878787876,93.921875,3.381304731007276,1158.7609382798203,4.526507875528218,4.069567524586493
"Ardee, Louth",2023,1082.41,335.2919090909091,99.559375,3.228261615184164,1087.2004771022318,-0.5439526614170243,4.17098843894339
